,ID Number,First,Last,Date Started,Date Left,Rate Per Day,Rate Per Month,Total Work Hours,Total Basic Salary,Total Overtime Hours,Total Overtime Pay,Total Late Hours,Total Late Deduction,Total Gross Salary,Total Debt,Total Deductibles,Total Bonus,Total Standing Salary,Income Tax,Philhealth,Pagibig,SSS Employee Contribution,SSS Employer Contribution,Income Tax Day,Philhealth Day,Pagibig Day,SSS Employee Contribution Day,SSS Employer Contribution Day,Total Income Tax,Total Philhealth,Total Pagibig,Total SSS Employee Contribution,Total SSS Employer Contribution,Salary for the Week
0,10000000,Angelo,Johnson,12/06/2018,0,537,16110,56,3759.0,0,0.0,1,67.12,3691.88,1700,0,0,1991.88,0.0,221.51,32.22,640,1310,0.0,7.38,1.07,21.33,43.67,0.0,51.66,7.49,149.31,305.69,1783.42
1,10000001,Bea,Ramirez,30/07/2015,0,600,18000,61,4200.0,5,487.5,2,150.0,4537.5,2090,400,0,2047.5,0.0,247.5,36.0,720,1470,0.0,8.25,1.2,24.0,49.0,0.0,57.75,8.4,168.0,343.0,1813.35
2,10000002,Chris,Evans,22/12/2018,0,840,25200,59,5880.0,3,409.5,2,210.0,6079.5,1000,355,0,4724.5,655.0,346.5,50.4,800,1630,21.83,11.55,1.68,26.67,54.33,152.81,80.85000000000001,11.76,186.69,380.31,4292.39
3,10000003,Dennis,Tan,04/12/2016,0,550,16500,63,3850.0,7,625.63,1,68.75,4406.88,0,45,0,4361.88,0.0,226.88,33.0,660,1350,0.0,7.56,1.1,22.0,45.0,0.0,52.919999999999995,7.700000000000001,154.0,315.0,4147.26
4,10000004,Emily,Santos,14/08/2017,0,1045,31350,61,7315.0,5,849.05,4,522.48,7641.57,210,110,0,7321.57,1577.5,431.06,62.7,800,1630,52.58,14.37,2.09,26.67,54.33,368.06,100.58999999999999,14.629999999999999,186.69,380.31,6651.599999999999
5,10000005,Frances,Mercado,15/03/2019,0,729,21870,58,5103.0,2,236.92,2,182.24,5157.68,1197,555,0,3405.6800000000003,155.5,300.71,43.74,800,1630,5.18,10.02,1.46,26.67,54.33,36.26,70.14,10.219999999999999,186.69,380.31,3102.3700000000003
6,10000006,Gary,Cruz,21/03/2016,0,1255,37650,63,8785.0,7,1427.5800000000002,0,0.0,10212.580000000002,112,720,0,9380.580000000002,2738.33,517.69,75.3,800,1630,91.28,17.26,2.51,26.67,54.33,638.96,120.82000000000001,17.57,186.69,380.31,8416.54
7,10000007,Hans,Chan,16/05/2018,0,920,27600,58,6440.0,2,299.0,3,345.0,6394.0,1190,520,0,4684.0,1015.0,379.5,55.2,800,1630,33.83,12.65,1.84,26.67,54.33,236.81,88.55,12.88,186.69,380.31,4159.07
8,10000008,Isabel,Juan,18/05/2017,0,620,18600,60,4340.0,4,403.0,4,310.0,4433.0,350,360,0,3723.0,0.0,255.75,37.2,740,1510,0.0,8.52,1.24,24.67,50.33,0.0,59.64,8.68,172.69,352.31,3481.99
9,10000009,Jen,Ang,12/09/2018,0,845,25350,61,5915.0,5,686.55,1,105.62,6495.93,770,605,0,5120.93,677.5,348.56,50.7,800,1630,22.58,11.62,1.69,26.67,54.33,158.06,81.33999999999999,11.83,186.69,380.31,4683.01
